author_id,name,n_papers,h_corpus,cites_corpus,h_openalex,works_openalex,cites_openalex,institution,country,top_sleeve,distinct_sleeves,fwd_citers_total,top_paper_title,top_paper_cites
A5026481307,N. Gregory Mankiw,49,43,15302,83,563,45918,Harvard University,US,macro_regime,5,2175,Free Entry and Social Inefficiency,1296
A5051548845,Kenneth Froot,63,43,15293,57,220,19871,National Bureau of Economic Research,US,other,9,2724,Exchange Rates and Foreign Direct Investment: an Imperfect Capital Markets Approach,1478
A5110601803,Asli Demirgüç‐Kunt,55,43,40247,127,562,84945,Center for Global Development,,other,5,2543,Small and medium-size enterprises: Access to finance as a growth constraint,2698
A5114017314,Michael J. Brennan,58,43,18852,68,225,27233,"University of California, Los Angeles",US,other,8,4752,Evaluating Natural Resource Investments,2441
A5065544496,Massimiliano Marcellino,91,43,7328,53,461,10923,Bocconi University,,macro_regime,6,2075,Some Cautions on the Use of Panel Methods for Integrated Series of Macroeconomic Data,479
A5045322058,İlhan Öztürk,48,43,10558,115,458,49975,Warsaw University of Technology,TR,other,3,1250,"The long-run and causal analysis of energy, growth, openness and financial development on carbon emissions in Turkey",1208
A5109857703,Robert C. Merton,70,42,47237,63,224,75979,Massachusetts Institute of Technology,,other,8,12255,An Intertemporal Capital Asset Pricing Model,6211
A5101497042,Arvind Krishnamurthy,67,42,10271,90,516,33054,Google (United States),US,other,7,3515,The Aggregate Demand for Treasury Debt,1607
A5002459998,Lawrence J. Christiano,52,42,15794,74,328,31795,National Bureau of Economic Research,US,macro_regime,6,3399,When Is the Government Spending Multiplier Large?,1869
A5110205824,Richard Roll,60,42,34257,76,282,49628,"University of California, Los Angeles",,other,9,9029,Economic Forces and the Stock Market,5402
A5091502988,Michael D. Bordo,74,42,6908,63,758,17126,"Rutgers, The State University of New Jersey",US,macro_regime,9,875,Is the crisis problem growing more severe?,1305
A5037232892,Olivier Blanchard,49,42,17941,112,640,59131,Peterson Institute for International Economics,US,macro_regime,6,2009,The Solution of Linear Difference Models under Rational Expectations,2474
A5046533635,Robert A. Jarrow,107,42,14646,63,524,22403,Cornell University,US,cross_asset,10,3738,Bond Pricing and the Term Structure of Interest Rates: A New Methodology for Contingent Claims Valuation,3208
A5080063285,Michael Ehrmann,48,42,7796,74,357,20638,Center for Economic and Policy Research,,macro_regime,5,1647,Central Bank Communication and Monetary Policy: A Survey of Theory and Evidence,1403
A5054326143,Peter Christoffersen,88,42,9243,54,258,14212,University of Toronto,CA,other,9,2748,Evaluating Interval Forecasts,1821
A5014189498,Mehmet Balcılar,99,42,6665,55,434,12248,University of New Haven,CY,macro_regime,8,2763,Can volume predict Bitcoin returns and volatility? A quantiles-based approach,662
A5087969968,Russell Smyth,61,42,6366,81,807,24323,Australian Regenerative Medicine Institute,AU,macro_regime,8,973,Energy consumption and real GDP in G7 countries: New evidence from panel cointegration with structural breaks,792
A5039042419,Mark E. Wohar,120,42,5915,53,446,10888,University of Nebraska at Omaha,GB,macro_regime,10,2397,Macro variables and international stock return predictability,340
A5051751338,Ulrike Malmendier,58,41,17474,53,188,25136,National Bureau of Economic Research,CH,other,6,2457,Who Makes Acquisitions? CEO Overconfidence and the Market's Reaction,2927
A5026390628,James M. Poterba,47,41,19939,94,560,40175,National Bureau of Economic Research,,other,8,2855,Financing Constraints and Corporate Investment,5676
A5015861872,Lukas Menkhoff,128,41,6405,46,498,9272,German Institute for Economic Research,DE,other,10,1086,Financial Education Affects Financial Knowledge and Downstream Behaviors,506
A5111987517,Yacine Aı̈t-Sahalia,56,41,12574,60,185,18447,Princeton University,US,microstructure,8,4153,A Tale of Two Time Scales: Determining Integrated Volatility with Noisy High Frequency Data,1443
A5056320757,Philippe Jorion,71,41,13346,57,151,18722,"University of California, Irvine",US,other,7,3911,The Exchange-Rate Exposure of U.S. Multinationals,1079
A5100756987,Muhammad Umar,55,41,7565,77,273,20561,Sejong University,CN,commodities,6,1605,"The dynamic impact of natural resources, technological innovations and economic growth on ecological footprint: An advan",723
A5010789733,Fenghua Wen,63,41,4840,57,218,9568,Central South University,CA,commodities,8,1987,Retail investor attention and stock price crash risk: Evidence from China,362
A5034194808,Markus K. Brunnermeier,93,40,17052,63,276,33465,Princeton University,,other,8,5517,Deciphering the Liquidity and Credit Crunch 2007–2008,3434
A5003301823,Mark Gertler,46,40,44885,73,211,60555,National Bureau of Economic Research,US,macro_regime,5,9269,The Science of Monetary Policy: A New Keynesian Perspective,4992
A5000234995,Amos Tversky,43,40,148541,127,288,325908,,,other,2,7208,Prospect Theory: An Analysis of Decision under Risk,47662
A5061722712,Turan G. Bali,88,40,8759,53,259,13470,Georgetown University,US,equity_xs,8,3299,Maxing out: Stocks as lotteries and the cross-section of expected returns,1755
A5037231428,Menzie Chinn,69,40,9306,69,418,22664,National Bureau of Economic Research,US,macro_regime,8,1863,A New Measure of Financial Openness,2060
A5067968404,Guillermo A. Calvo,47,40,16758,77,390,35867,Columbia University,US,macro_regime,5,1743,Fear of floating,3592
A5012755577,Luc Laeven,64,40,16870,89,453,41091,European Central Bank,,other,6,1472,Entry regulation as a barrier to entrepreneurship,1724
A5052979321,Larisa Yarovaya,60,40,9206,56,163,12753,University of Southampton,GB,other,8,3131,"COVID-19 pandemic, oil prices, stock market, geopolitical risk and policy uncertainty nexus in the US economy: Fresh evi",1298
A5079462108,Chi‐Wei Su,115,40,5423,68,442,15868,Qingdao University,CN,macro_regime,7,1667,Can Fintech development pave the way for a transition towards low-carbon economy: A global perspective,384
A5064009401,Guglielmo Maria Caporale,139,40,5450,48,829,10179,University of London,DE,macro_regime,9,1003,Is Europe an Optimum Currency Area,402
A5015838945,Mohsen Bahmani‐Óskooee,78,40,5014,61,582,17064,University of Wisconsin–Milwaukee,US,macro_regime,6,777,Stock prices and the effective exchange rate of the dollar,530
A5102627651,Sérgio Rebelo,44,39,18830,64,222,25740,Northwestern University,GB,macro_regime,6,2193,Fiscal Policy and Economic Growth: An Empirical Investigation,2565
A5071417682,Andrew J. Patton,59,39,10619,50,162,12683,Duke University,US,other,8,3240,MODELLING ASYMMETRIC EXCHANGE RATE DEPENDENCE*,2147
A5056085635,Siem Jan Koopman,87,39,7605,60,490,14349,Tinbergen Institute,NL,macro_regime,6,1813,Time Series Analysis by State Space Methods,1461
A5082479626,Sebastián Edwards,56,39,7743,75,614,21102,National Bureau of Economic Research,US,macro_regime,7,685,The Macroeconomics of Populism,673
A5019834648,Shaen Corbet,75,39,8755,53,416,13304,Dublin City University,IE,other,8,3365,Exploring the dynamic relationships between cryptocurrencies and other financial assets,1239
A5108034146,Nicholas Apergis,93,39,5817,77,528,25949,Prague University of Economics and Business,GR,macro_regime,8,1204,Energy consumption and economic growth in Central America: Evidence from a panel cointegration and error correction mode,769
A5056796755,Luis A. Gil‐Alana,166,39,5069,48,1047,11426,Universidad Pública de Navarra (UPNA),ES,equity_xs,10,1326,Persistence in the cryptocurrency market,278
A5059478603,Lawrence H. Summers,41,38,24555,107,522,61103,Harvard University,,other,6,5512,Noise Trader Risk in Financial Markets,6200
A5010556988,John H. Cochrane,66,38,22051,62,292,25183,Stanford University,CA,other,8,4565,By Force of Habit: A Consumption-Based Explanation of Aggregate Stock Market Behavior,4964
A5102011938,John R. Graham,55,38,21296,82,210,47479,National Bureau of Economic Research,US,other,8,2743,Coskewness,5748
A5031223075,Glenn D. Rudebusch,52,38,8759,72,303,20659,Brookings Institution,US,macro_regime,5,2434,Term structure evidence on interest rate smoothing and monetary policy inertia,798
A5051581499,Charles Engel,77,38,8954,64,350,16688,University of Wisconsin–Madison,US,other,7,1775,The Six Major Puzzles in International Macroeconomics: Is There a Common Cause?,2072
A5048699546,Joshua Aizenman,68,38,5313,62,710,15801,University of Southern California,US,macro_regime,5,625,"What is the Risk of European Sovereign Debt Defaults? Fiscal Space, CDS Spreads and Market Pricing of Risk",342
A5053742635,Wolfgang Karl Härdle,123,38,5192,85,1554,34878,National Yang Ming Chiao Tung University,CN,other,10,1150,A CONSISTENT NONPARAMETRIC TEST FOR CAUSALITY IN QUANTILE,452
A5019106763,Xiaojie Xu,39,38,4242,85,222,17106,North Carolina State University,US,other,4,872,Individual time series and composite forecasting of the Chinese stock index,306
A5029542243,Tomiwa Sunday Adebayo,63,38,5794,91,354,23052,Cyprus International University,CY,other,4,749,Determinants of carbon emissions in Argentina: The roles of renewable energy consumption and globalization,351
A5019539580,Afees A. Salisu,102,38,4983,43,312,7028,University of Ibadan,NG,macro_regime,8,1799,Revisiting the oil price and stock market nexus: A nonlinear Panel ARDL approach,310
A5074911203,Narasimhan Jegadeesh,59,37,23743,49,111,32618,Emory University,,other,7,7194,Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency,11251
A5078960449,Andrew Ang,106,37,18007,57,262,27728,Columbia University,US,other,7,7033,Coskewness using daily returns,4834
A5064406662,Stijn Van Nieuwerburgh,71,37,5859,62,262,14069,National Bureau of Economic Research,US,other,9,1730,Reconciling the Return Predictability Evidence,750
A5063748244,Alan M. Taylor,50,37,10446,63,432,18314,Center for Economic and Policy Research,US,macro_regime,7,957,Domestic Saving and International Capital Flows Reconsidered,1042
A5076507287,Jordi Gaĺı,44,37,25990,76,272,44037,National Bureau of Economic Research,US,macro_regime,7,4694,The Science of Monetary Policy: A New Keynesian Perspective,4992
A5067896114,Frank Smets,44,37,9934,58,246,21842,HOGENT University of Applied Sciences and Arts,DE,macro_regime,4,2299,Shocks and Frictions in US Business Cycles: A Bayesian DSGE Approach,1524
A5109922213,Enrique G. Mendoza,47,37,10804,55,319,17665,National Bureau of Economic Research,US,macro_regime,6,1490,Effective Tax Rates in Macroeconomics: Cross-Country Estimates of Tax Rates on Factor Incomes and Consumption,1212
A5077740586,Tarun Chordia,65,37,13528,54,145,20350,Emory University,,equity_xs,7,5380,Commonality in liquidity,1723
A5101804566,Barbara Rossi,53,37,5141,38,179,6125,Institució Catalana de Recerca i Estudis Avançats,ES,macro_regime,4,1446,Can Exchange Rates Forecast Commodity Prices,700
A5085738609,Benjamin Miranda Tabak,82,37,4092,50,471,9183,Fundação Getulio Vargas,BR,macro_regime,10,1065,The Hurst exponent over time: testing the assertion that emerging markets are becoming more efficient,410
A5031188606,Chi Keung Marco Lau,74,37,5784,58,305,13074,University of Huddersfield,GB,macro_regime,9,2515,Does economic policy uncertainty predict the Bitcoin returns? An empirical investigation,620
A5100672405,Kin Keung Lai,72,37,5255,67,554,15830,Shaanxi Normal University,HK,other,9,1155,Forecasting crude oil price with an EMD-based neural network ensemble learning paradigm,713
A5003679114,Boqiang Lin,62,37,5251,109,895,45832,Xiamen University,CN,other,7,1144,The effect of carbon tax on per capita CO2 emissions,565
A5060028090,Dick van Dijk,67,37,5527,51,337,10815,Environmental Research Institute of Michigan,NL,macro_regime,9,1259,A comparison of biased simulation schemes for stochastic volatility models,411
A5008162674,Doojin Ryu,113,37,3667,44,500,7230,Sungkyunkwan University,KR,equity_xs,10,1594,Informed trading in the index option market: The case of KOSPI 200 options,168
A5064321959,Philip Hans Franses,59,37,4635,66,898,17801,The Econometric Society,,other,7,979,Forecasting stock market volatility using (non‐linear) Garch models,400
A5080437782,Brad M. Barber,63,36,28403,59,137,39985,"University of California, Davis",US,other,3,7175,"Boys will be Boys: Gender, Overconfidence, and Common Stock Investment",5416
A5064323899,Robert J. Barro,41,36,31294,108,726,109482,National Bureau of Economic Research,US,macro_regime,7,3460,Are Government Bonds Net Wealth?,5958
A5103006570,Wei Xiong,62,36,11264,55,195,18112,Hong Kong Baptist University,US,other,8,3906,Overconfidence and Speculative Bubbles,2330
A5017568125,Yuriy Gorodnichenko,58,36,11734,72,647,23677,Center for Economic and Policy Research,US,macro_regime,4,2266,Measuring the Output Responses to Fiscal Policy,1758
A5102145661,Jushan Bai,49,36,20587,53,175,25872,,,other,5,3569,Estimating and Testing Linear Models with Multiple Structural Changes,6131
A5066524349,Anjan V. Thakor,49,36,14641,77,497,28325,Washington University in St. Louis,US,other,7,1981,Can Relationship Banking Survive Competition?,1602
A5012239666,Guofu Zhou,109,36,10295,54,281,16928,Washington University in St. Louis,US,equity_xs,10,4738,Out-of-Sample Equity Premium Prediction: Combination Forecasts and Links to the Real Economy,1706
A5060799978,Hendrik Bessembinder,85,36,10165,47,134,12247,William Carey University,US,other,9,3183,Equilibrium Pricing and Optimal Hedging in Electricity Forward Markets,746
A5041136137,Andrew K. Rose,42,36,14001,75,576,31129,"University of California, Berkeley",US,macro_regime,7,1733,The Endogenity of the Optimum Currency Area Criteria,2559
