name,sleeve,category,firm,s2_id,s2_h,s2_cites,s2_papers,s2_status,needs_review,c_firm,c_pubs,c_cites,c_sleeve,criteria_met,qualifies,source,verify_note
Robert Merton,vol_options,,,2451644,47,63380,289,ok,0,0,,1,0,1,0,"canon (4 canon papers; ICAPM, option pricing)",replaced 7347752 (econ 2%) -> 2451644 (econ 85.5%)
Robert Novy-Marx,equity_xs,qfactor,,1398634241,28,6260,62,ok,0,0,,1,0,1,0,author_sites.csv,
Robert Pindyck,commodities,,,3436008,64,35931,214,ok,0,0,,1,1,2,1,canon (storage; volatility),
Robert Shiller,macro_regime,,,5736726,80,48254,355,ok,0,0,,1,0,1,0,canon (excess volatility; CAPE),confirmed by field test (econ 79.6%)
Robert Stambaugh,equity_xs,,,113247468,30,16576,74,ok,0,0,,1,0,1,0,canon (liquidity risk; mispricing factors),confirmed by field test (econ 90.0%)
Robert Vishny,equity_xs,,,4988184,76,191686,152,ok,0,0,,1,0,1,0,canon (limits of arbitrage; LSV),
Robin Greenwood,equity_xs,behavioural,,38818395,16,2563,48,ok,0,0,,1,0,1,0,author_sites.csv,
Russ Wermers,equity_xs,,,3173841,33,13772,109,ok,0,0,,1,0,1,0,canon (mutual fund performance),
Semyon Malamud,other,other,,2772316,23,2371,156,ok,0,0,,1,0,1,0,author_sites.csv,
Serhiy Kozak,equity_xs,factors,,101120005,8,953,16,ok,0,0,,1,0,1,0,author_sites.csv,
Sheridan Titman,equity_xs,,,52453175,90,74982,310,ok,0,0,,1,0,1,0,canon (momentum; characteristics),
Shihao Gu,equity_xs,factors,,90255997,3,2358,9,ok,0,0,,1,0,1,0,author_sites.csv,
Stefan Nagel,equity_xs,factors,,50373121,30,12054,74,ok,0,0,,1,0,1,0,author_sites.csv,confirmed by field test (econ 87.5%)
Stefano Giglio,equity_xs,factors,,69847461,24,5328,51,ok,0,0,,1,0,1,0,author_sites.csv,
Stephen A. Ross,other,promoted,,145520631,56,54860,158,ok,0,0,,1,0,1,0,author_sites.csv,
Steven Heston,vol_options,,,3115777,24,14090,47,ok,0,0,,1,0,1,0,canon (stochastic volatility model),
Sydney Ludvigson,macro_regime,macro,,66428735,28,8866,72,ok,0,0,,1,0,1,0,author_sites.csv,confirmed by field test (econ 89.2%)
Tarun Chordia,microstructure,,,104633810,42,16947,107,ok,0,0,,1,1,2,1,canon (liquidity commonality),
Terrance Odean,equity_xs,,,1869851,35,26776,72,ok,0,0,,1,0,1,0,canon (retail investor behaviour),
Terrence Hendershott,microstructure,microstructure,,2287993,33,8009,85,ok,0,0,,1,1,2,1,author_sites.csv,
Thierry Roncalli,cross_asset,,amundi,70432107,29,3940,123,ok,0,1,,1,1,3,1,gap-fill (plan 2.2),
Tim Bollerslev,vol_options,volatility,,2702465,83,83748,181,ok,0,0,,1,0,1,0,author_sites.csv,confirmed by field test (econ 66.7%)
Tobias Adrian,rates_credit,,,2448060413,1,16710,1,ok,0,0,,1,0,1,0,canon (intermediary asset pricing; term premia),
Tobias Moskowitz,other,other,,102056949,14,8487,27,ok,0,0,,1,0,1,0,author_sites.csv,confirmed by field test (econ 87.5%)
Torben Andersen,vol_options,volatility,,2315163,62,35029,169,ok,0,0,,1,0,1,0,author_sites.csv,confirmed by field test (econ 65.8%)
Ulrike Malmendier,equity_xs,,,1405417097,43,21583,120,ok,0,0,,1,0,1,0,canon (experience effects; CEO overconfidence),
Victor DeMiguel,other,econometrics,,1785216,22,6210,52,ok,0,0,,1,0,1,0,author_sites.csv,
Viral Acharya,rates_credit,,,2411680472,36,8928,36,ok,0,0,,1,0,1,0,canon (systemic risk; credit),replaced 2240101713 (econ 100%) -> 2411680472 (econ 98.0%)
Vitali Kalesnik,cross_asset,,research affiliates,97748897,16,725,61,ok,0,1,,1,1,3,1,gap-fill (plan 2.2),
Wei Xiong,macro_regime,,,2242769925,12,3056,117,ok,0,0,,1,0,1,0,canon (bubbles; commodities financialization),replaced 2437677 (econ 0%) -> 2242769925 (econ 45.0%)
Wenxin Du,fx,fx_basis,,9625154,14,1364,19,ok,0,0,,1,0,1,0,author_sites.csv,confirmed by field test (econ 78.6%)
Wesley Gray,equity_xs,,alpha architect,49669863,5,11433,292,ok,0,1,,1,0,2,1,gap-fill (plan 2.2),replaced 2926253 (econ 2%) -> 49669863 (econ 57.6%)
Whitney Newey,other,,,3646527,73,56882,228,ok,0,0,,1,0,1,0,canon (HAC standard errors),
William Fung,trend_cta,,,1810039,22,4966,37,ok,0,0,,1,1,2,1,canon (hedge fund styles; trend replication),confirmed by field test (econ 89.2%)
William Sharpe,cross_asset,,,3159358,39,36111,106,ok,0,0,,1,1,2,1,canon (CAPM; Sharpe ratio),confirmed by field test (econ 76.8%)
Yakov Amihud,microstructure,,,102785782,50,27909,150,ok,0,0,,1,1,2,1,canon (illiquidity measure),
Yao Hua Ooi,trend_cta,trend_following,,145379569,8,1696,17,ok,0,0,,1,1,2,1,author_sites.csv,
Zhengyang Jiang,carry,convenience_yield,,14484581,14,1141,21,ok,0,0,,1,1,2,1,author_sites.csv,replaced 48634350 (econ 0%) -> 14484581 (econ 97.1%)
Zhiguo He,equity_xs,factors,,2351678,34,8981,93,ok,0,0,,1,0,1,0,author_sites.csv,confirmed by field test (econ 95.5%)
Zoltan Pozsar,macro_regime,practitioner_macro,,119328229,9,854,15,ok,0,0,,1,0,1,0,author_sites.csv,
Dirk G. Baur,commodities,gold_safe_haven,,46245448,26,2803,71,ok,0,0,,1,1,1,1,manual_2026-08-31,"S2 FRAGMENTS THIS AUTHOR across >=8 profiles; 46245448 is the largest (71 papers: gold safe-haven, precious metals, bitcoin). 'Is Gold a Hedge or a Safe Haven?' sits under 2411440516 and the contagion/quantile work under 2274388171, so route D's harvest for him is a FLOOR. Verified by publication list, not h-index. Added because he is the reference author on gold as a safe-haven asset and had 57 papers reaching the pool only incidentally via co-authorship and the sweep."
